iteration	type	hypothesis	result	severity	location	description
0	baseline	-	-	-	-	1272 tests pass, 6 lint errors, 10 warnings
1	hypothesis	CVaR sizer divides by zero max_acceptable_cvar	confirmed	HIGH	cvar_sizer.py:244	Division by _max_acceptable_cvar without zero guard in logging + sizing
2	hypothesis	Silent swallow of invalid strategy configs	confirmed	HIGH	config_models.py:99	except Exception: pass hides malformed YAML strategy activation configs
3	hypothesis	is True/is False identity comparisons are bugs	disproven	-	strategy_engine.py:170, flow_alpha.py:473	Intentional: granger_causal is tri-state, hard_stop_fn uses strict identity
4	hypothesis	reconcile_task crashes silently	confirmed	MEDIUM	main.py:403, execution.py:2401	reconcile_loop() had no try/except — unhandled exception kills reconciliation
5	hypothesis	Empty equity curve crashes backtest report	confirmed	MEDIUM	backtest_report.py:309	equities[0] without bounds check in drawdown calculation
6	hypothesis	Extraneous f-prefix lint errors	confirmed	LOW	scripts/run_wfo_robust.py	6 f-strings without placeholders
7	hypothesis	time_utils fail-open is silent	confirmed	MEDIUM	time_utils.py:79,131	except Exception returns True with no logging — invisible timezone failures
8	hypothesis	ledger_adapter return-None violates policy	disproven	-	ledger_adapter.py:94	Appropriate for non-critical audit trail; warning already logged
9	hypothesis	np.log on non-positive prices in GARCH	confirmed	MEDIUM	volatility.py:123	np.log(prices) with zero/negative prices produces nan/inf RuntimeWarning
10	hypothesis	Stream dispatch silently swallows callback errors	confirmed	HIGH	data/client.py:729	except Exception: pass in _dispatch_event — bar/trade/quote callbacks fail invisibly
11	hypothesis	Granger test failure is silent	confirmed	LOW	flow_alpha.py:264	except Exception: pass on Granger causality test — no visibility into failures
12	hypothesis	ORB_V2 stop on wrong side for SHORT	disproven	-	orb_v2.py:254	Agent confused direction — range_low + adj IS above entry for short breakouts
13	hypothesis	RSI_bounce trend filter is inverted	disproven	-	rsi_bounce.py:387-390	Correctly prevents counter-trend trades: no shorting overbought in uptrends
14	hypothesis	trend_rider_pro SELL disabled is a bug	disproven	-	trend_rider_pro.py:239	Intentional: 2025 analysis showed negative edge on short signals
15	discovery	flow_alpha GARCH normalization uses multiply instead of divide	confirmed	MEDIUM	flow_alpha.py:135	flow_zscore * cond_vol (0.015) ≈ 0 vs fallback /3.0 — fixed: divide by (cond_vol * 200)
16	hypothesis	momentum_fade velocity division by zero	confirmed	LOW	momentum_fade.py:209	Division by closes_list[-1-velocity_lookback] without zero guard
17	hypothesis	market state meta update silent	confirmed	MEDIUM	market.py:184	except Exception: pass on trend_score/regime_tags meta update
18	hypothesis	set_risk_mode failure silent	confirmed	HIGH	market.py:222	except Exception: pass on safety-critical risk mode change
19	hypothesis	strategy_engine on_error callback silent	disproven	-	strategy_engine.py:207	Defensive: error callback failure is non-critical, main error IS logged
20	hypothesis	DB buffer metrics failure silent	confirmed	MEDIUM	execution.py:1192	except Exception: pass on buffer len/max prevents trading halt detection
21	hypothesis	WebSocket close silent	disproven	-	data/client.py:563	Standard cleanup pattern — connection may already be dead
22	hypothesis	scanner _is_finite returns False silently	disproven	-	scanner/validation.py:21	Correct validation predicate behavior for non-numeric inputs
23	hypothesis	persist_feature_snapshot positional args vs keyword-only	confirmed	HIGH	pipeline.py:434	TypeError at runtime — function requires keyword-only args
24	hypothesis	gex_data uninitialized on fetch failure	confirmed	HIGH	pipeline.py:346-391	NameError when fetch_flow or fetch_gex raises exception
25	hypothesis	scan removal loop KeyError on missing symbol	confirmed	MEDIUM	execution.py:1744	Direct dict access without existence check crashes entire removal loop
26	hypothesis	gap_fill division by (1+gap_pct) too loose guard	disproven	-	gap_fill.py:136	Guard is adequate — extreme values still rejected by downstream checks
27	hypothesis	momentum_fade trend filter inverted	disproven	-	momentum_fade.py:351-354	Correct: prevents WITH-trend trades, keeps counter-trend fades only
28	hypothesis	CVaR GPD denom near-zero	disproven	-	cvar_sizer.py:207	isfinite check on line 210 catches extreme values
29	hypothesis	execution.py symbol_states KeyError on signal	disproven	-	execution.py:953	Signals always generated from within bar loop where symbol exists
30	hypothesis	fill data parse failure silent	confirmed	MEDIUM	execution.py:1557	Unparseable fill qty/price silently dropped — no logging
31	hypothesis	momentum_continuation non-exclusive if	disproven	-	momentum_continuation.py:174-182	is_uptrend/is_downtrend are mutually exclusive (EMA crossover)
32	hypothesis	NaN propagation in gap_pct	disproven	-	pipeline.py:131	Fallback is 0.0 from calculator, not NaN
33	hypothesis	assert in production position_manager	disproven	-	position_manager.py:396,493	Acceptable defensive assertions — Python rarely run with -O
34	hypothesis	partial exit counter increments on zero qty	disproven	-	position_manager.py:515,750	Counter incremented on fill, not on intent creation — zero-qty intent never fires
35	hypothesis	position limit bypass via position increase	disproven	-	risk.py:181	Intentional: adding to existing position doesn't open NEW position; notional limits apply separately
36	hypothesis	CVaR VaR index off-by-one small samples	disproven	-	cvar_sizer.py:114	Standard conservative approach: worst observation used for small samples
37	hypothesis	Kelly edge case asymmetry robust vs non-robust	disproven	-	kelly.py:269-273	Both paths clamped to max_equity_pct on line 288 — final output identical
38	hypothesis	scheduler hardcodes --mode live	confirmed	HIGH	scheduler.py:58	Spawns daily sessions in LIVE mode regardless of environment — safety violation
39	hypothesis	stage3 code injection	disproven	-	agent/stage3.py:421	Gated by CERBERUS_STAGE3_APPROVED env var; proposals validated via backtest
40	hypothesis	scheduler raw structlog import	confirmed	LOW	scheduler.py:10	Uses structlog.get_logger() directly instead of core/logger.get_logger()
41	hypothesis	fill-before-pending-entry race	disproven	-	execution.py:1046	asyncio single-threaded — order submission and fill processing are sequential
42	hypothesis	band_tolerance double-percentage bug	disproven	-	rsi_bounce.py:417	param_spaces.py confirms band_tolerance is % of band width — /100.0 is correct conversion
43	hypothesis	strategy_engine list modification during iteration	disproven	-	strategy_engine.py:171	Loop iterates allowed (set), not active (list) — modifying active while iterating allowed is safe
44	hypothesis	fill["symbol"] missing key	disproven	-	execution.py:1242	Broker fills always have symbol; crashing on corrupt data is correct per error handling philosophy
45	hypothesis	float precision in fill dedup key	disproven	-	execution.py:1257	Same fill replayed from JSON produces identical floats; different prices = different fills
